Source,Price,Location,Sqm,Rooms
Domiporta,'3 200',Warszawa,40,2
Domiporta,'11 000',Warszawa,120,5
Domiporta,'12 000',Warszawa,203,4
Domiporta,'12 000',Warszawa,54.50,2
Domiporta,'6 000',Warszawa,80,3
Domiporta,'11 980',Warszawa,120,3
Domiporta,'6 500',Warszawa,79,3
Domiporta,'15 000',Warszawa,140,3
Domiporta,'5 000',Warszawa,68,3
Domiporta,'17 500',Warszawa,176,4
Domiporta,'8 500',Warszawa,80,3
Domiporta,'5 400',Warszawa,53,2
Domiporta,'15 000',Warszawa,172,5
Domiporta,'35 000',Warszawa,160,4
Domiporta,'8 500',Warszawa,120,4
Domiporta,'6 000',Warszawa,80,3
Domiporta,'10 900',Warszawa,75,3
Domiporta,'16 000',Warszawa,127,4
Domiporta,'15 900',Warszawa,197.46,4
Domiporta,'8 000',Warszawa,110,3
Domiporta,'8 500',Warszawa,105,3
Domiporta,'6 400',Warszawa,88,4
Domiporta,'7 900',Warszawa,83,3
Domiporta,'4 700',Warszawa,87,4
Domiporta,'9 700',Warszawa,95,3
Domiporta,'15 000',Warszawa,255.10,5
Domiporta,'40 000',Warszawa,165,4
Domiporta,'7 500',Warszawa,81.30,3
Domiporta,'4 500',Warszawa,56,2
Domiporta,'44 000',Warszawa,168,4
Domiporta,'8 500',Warszawa,135,3
Domiporta,'7 490',Warszawa,92,3
Domiporta,'6 500',Warszawa,90,2
Domiporta,'12 814',Warszawa,203.90,6
Domiporta,'15 000',Warszawa,94.20,3
Domiporta,'7 500',Warszawa,80,4
Domiporta,'28 800',Warszawa,372.50,6
Domiporta,'6 300',Warszawa,93.10,2
Domiporta,'7 900',Warszawa,82,3
Domiporta,'5 500',Warszawa,57,2
Domiporta,'5 700',Warszawa,75,3
Domiporta,'12 000',Warszawa,104,3
Domiporta,'8 500',Warszawa,143,4
Domiporta,'5 800',Warszawa,92,3
Domiporta,'13 000',Warszawa,160,4
Domiporta,'15 000',Warszawa,190,4
Domiporta,'8 000',Warszawa,124,3
Domiporta,'7 500',Warszawa,108,3
Domiporta,'6 000',Warszawa,79,3
Domiporta,'10 000',Warszawa,101,3
Domiporta,'14 000',Warszawa,100,3
Domiporta,'8 650',Warszawa,64,2
Domiporta,'13 000',Warszawa,160,5
Domiporta,'9 000',Warszawa,102,3
Domiporta,'250 000',Warszawa,3000,40
Domiporta,'39 000',Warszawa,262.50,5
Domiporta,'7 200',Warszawa,86,3
Domiporta,'25 000',Warszawa,350,7
Domiporta,'18 000',Warszawa,270,4
Domiporta,'9 200',Warszawa,51,2
Domiporta,'7 950',Warszawa,110,3
Domiporta,'40 000',Warszawa,328.10,7
Domiporta,'14 000',Warszawa,156,4
Domiporta,'9 800',Warszawa,120.10,4
Domiporta,'6 000',Warszawa,53,2
Domiporta,'9 000',Warszawa,125,4
Domiporta,'7 900',Warszawa,141,4
Domiporta,'5 500',Warszawa,58,3
Domiporta,'11 500',Warszawa,92.10,3
Domiporta,'2 000',Warszawa,30.40,1
Domiporta,'2 700',Warszawa,33,1
Domiporta,'1 800',Łódź,62.40,2
Domiporta,'1 800',Łódź,59.20,2
Domiporta,'2 800',Łódź,70,2
Domiporta,'35 000',Warszawa,160,4
Domiporta,'7 500',Warszawa,87,3
Domiporta,'14 000',Warszawa,156,4
Domiporta,'5 400',Warszawa,53,2
Domiporta,'4 500',Warszawa,54,2
Domiporta,'2 700',Warszawa,44,1
Domiporta,'8 000',Warszawa,90,4
Domiporta,'3 600',Warszawa,48.10,2
Domiporta,'4 200',Warszawa,65,3
Domiporta,'3 600',Warszawa,45,2
Domiporta,'4 500',Warszawa,70,2
Domiporta,'3 000',Warszawa,51,1
Domiporta,'3 500',Warszawa,49,2
Domiporta,'5 500',Warszawa,81,3
Domiporta,'4 200',Warszawa,100,3
Domiporta,'1 500',Łódź,47,2
Domiporta,'1 800',Łódź,53,3
Domiporta,'1 750',Łódź,47.07,2
Domiporta,'4 000',Warszawa,52.50,2
Domiporta,'2 500',Warszawa,30,1
Domiporta,'3 000',Warszawa,64,3
Domiporta,'2 200',Warszawa,15,1
Domiporta,'3 000',Warszawa,52,2
Domiporta,'3 200',Warszawa,33,1
Domiporta,'2 600',Warszawa,39,2
