Source,Price,Location,Sqm,Rooms
Domiporta,'799 920',Warszawa,80.80,3
Domiporta,'1 230 000',Warszawa,65,3
Domiporta,'150 000',Bierzwni,49.42,2
Domiporta,'210 000',Łobe,44,2
Domiporta,'660 000',Szczeci,90.24,2
Domiporta,'340 000',Szczecin,45.25,4
Domiporta,'255 000',Bierzwni,89.70,2
Domiporta,'179 000',Choszczn,42,2
Domiporta,'340 000',Szczeci,45.25,4
Domiporta,'3 487 419',Kraków,120.26,3
Domiporta,'760 000',Warszawa,57.90,1
Domiporta,'419 000',Warszawa,35.40,2
Domiporta,'595 000',Józefosław,56,3
Domiporta,'739 000',Otwock,74,2
Domiporta,'1 150 000',Warszawa,82.50,2
Domiporta,'890 000',Warszawa,50.80,2
Domiporta,'495 000',Warszawa,36,4
Domiporta,'1 950 000',Warszawa,128.80,3
Domiporta,'639 000',Warszawa,58,2
Domiporta,'860 000',Warszawa,43.45,2
Domiporta,'688 000',Warszawa,38.89,2
Domiporta,'406 989',Warszawa,41.11,2
Domiporta,'337 065',Warszawa,29.31,3
Domiporta,'459 000',Warszawa,47.20,2
Domiporta,'420 000',Warszawa,37.14,3
Domiporta,'650 000',Warszawa,52,2
Domiporta,'1 040 000',Warszawa,74,2
Domiporta,'365 355',Warszawa,31.77,2
Domiporta,'632 250',Warszawa,50.58,3
Domiporta,'385 000',Szczecin,62.06,3
Domiporta,'1 190 000',Warszawa,74.79,3
Domiporta,'415 000',Lublin,57,4
Domiporta,'4 780 000',Warszawa,186,3
Domiporta,'2 200 000',Warszawa,100,3
Domiporta,'1 900 000',Warszawa,107,3
Domiporta,'2 490 000',Warszawa,58.40,2
Domiporta,'800 000',Warszawa,41,2
Domiporta,'850 000',Warszawa,170,5
Domiporta,'4 640 000',Warszawa,41,2
Domiporta,'540 000',Warszawa,37.80,2
Domiporta,'629 000',Warszawa,70.40,3
Domiporta,'773 696',Warszawa,54,2
Domiporta,'720 000',Warszawa,55.50,3
Domiporta,'1 260 000',Warszawa,55.50,3
Domiporta,'1 260 000',Warszawa,55.50,3
Domiporta,'1 260 000',Warszawa,63.50,3
Domiporta,'740 000',Warszawa,47,2
Domiporta,'720 000',Warszawa,56,3
Domiporta,'620 000',Warszawa,128,4
Domiporta,'1 606 000',Warszawa,193,7
Domiporta,'2 400 000',Warszawa,156,5
Domiporta,'1 949 000',Warszawa,216.90,6
Domiporta,'2 717 000',Warszawa,51,2
Domiporta,'1 210 000',Warszawa,77,3
Domiporta,'1 960 000',Warszawa,77,3
Domiporta,'1 955 000',Warszawa,50.70,2
Domiporta,'1 211 000',Warszawa,78.12,4
Domiporta,'1 219 000',Warszawa,200,7
Domiporta,'2 500 000',Gdańsk,28.02,1
Domiporta,'308 220',Gdańsk,41.68,2
Domiporta,'599 000',Rumia,53.13,3
Domiporta,'387 318',Gdańsk,34.73,2
Domiporta,'314 000',Warszawa,88.15,3
Domiporta,'1 399 000',Warszawa,89.90,3
Domiporta,'1 090 000',Warszawa,82.11,3
Domiporta,'1 099 000',Warszawa,34.75,2
Domiporta,'556 000',Warszawa,135,3
Domiporta,'2 025 000',Warszawa,94.14,3
Domiporta,'1 850 000',Wrocław,71,4
Domiporta,'699 900',Warszawa,43.60,2
Domiporta,'435 000',Warszawa,37.90,2
Domiporta,'539 000',Sochaczew,37.85,2
Domiporta,'265 000',Kraków,81,3
Domiporta,'950 000',Warszawa,28,1
Domiporta,'355 000',Warszawa,32.26,2
Domiporta,'560 000',Warszawa,99.60,3
Domiporta,'2 400 000',Warszawa,54,3
Domiporta,'520 000',Warszawa,72.33,2
Domiporta,'1 550 000',Warszawa,102.23,4
Domiporta,'1 620 000',Warszawa,60.40,2
Domiporta,'1 400 000',Warszawa,67.65,3
Domiporta,'1 370 000',Warszawa,127,4
Domiporta,'2 400 000',Warszawa,146,4
Domiporta,'2 035 000',Warszawa,185.88,4
Domiporta,'4 500 000',Warszawa,73,2
Domiporta,'900 000',Warszawa,65,2
Domiporta,'890 000',Warszawa,111,4
Domiporta,'1 990 000',Warszawa,106.61,3
Domiporta,'2 450 000',Warszawa,52.30,2
Domiporta,'780 000',Warszawa,113.70,5
Domiporta,'1 490 000',Pruszków,82.60,4
Domiporta,'999 000',Warszawa,77.14,3
Domiporta,'1 229 000',Warszawa,90,4
Domiporta,'2 550 000',Warszawa,45.37,2
Domiporta,'799 000',Warszawa,101.90,4
Domiporta,'1 500 000',Warszawa,65,2
Domiporta,'1 170 000',Warszawa,85,3
Domiporta,'918 000',Warszawa,51,2
Domiporta,'559 000',Warszawa,36,2
Domiporta,'470 000',Warszawa,135,4
Domiporta,'3 650 000',Warszawa,54.87,3
Domiporta,'1 450 000',Warszawa,115.26,4
Domiporta,'1 390 000',Warszawa,51.50,3
Domiporta,'950 000',Warszawa,102,4
Domiporta,'2 600 000',Warszawa,60,2
Domiporta,'750 000',Warszawa,37,2
Domiporta,'420 000',Warszawa,65.57,3
Domiporta,'1 245 000',Warszawa,43,2
Domiporta,'790 000',Warszawa,233.50,5
Domiporta,'4 380 000',Warszawa,497,8
Domiporta,'6 950 000',Warszawa,67,3
Domiporta,'990 000',Warszawa,92.50,3
Domiporta,'1 390 000',Warszawa,49,2
Domiporta,'539 000',Warszawa,45.57,2
Domiporta,'439 000',Warszawa,65,3
Domiporta,'850 000',Kraków,56,3
Domiporta,'667 000',Kraków,68,4
Domiporta,'1 250 000',Kielce,37.63,2
Domiporta,'328 000',Łomianki Dolne,57.30,2
Domiporta,'580 000',Warszawa,104.60,3
Domiporta,'1 650 000',Warszawa,71.70,3
Domiporta,'970 000',Warszawa,36.54,2
Domiporta,'600 000',Warszawa,56.25,3
Domiporta,'1 406 250',Warszawa,48.47,3
Domiporta,'1 357 160',Warszawa,46.88,3
Domiporta,'1 265 760',Warszawa,27.40,2
Domiporta,'739 800',Warszawa,26,2
Domiporta,'650 000',Warszawa,197.40,4
Domiporta,'3 500 000',Warszawa,25.71,2
Domiporta,'642 750',Warszawa,71.10,3
Domiporta,'1 100 000',Warszawa,20,1
Domiporta,'600 000',Warszawa,46.90,2
Domiporta,'670 000',Gdańsk,98.77,3
Domiporta,'3 456 950',Sopot,30,1
Domiporta,'375 000',Łódź,66.50,3
Domiporta,'530 000',Warszawa,47,2
Domiporta,'965 000',Kleszczewo,60.84,3
Domiporta,'397 000',Warszawa,120.50,4
Domiporta,'990 000',Warszawa,76,3
Domiporta,'1 139 000',Warszawa,68,3
Domiporta,'883 000',Warszawa,74,3
Domiporta,'1 250 000',Warszawa,74,3
Domiporta,'1 199 900',Warszawa,74,3
Domiporta,'1 269 000',Warszawa,73.50,3
Domiporta,'1 239 000',Warszawa,37,2
Domiporta,'498 000',Warszawa,48.18,2
Domiporta,'699 000',Wrocław,54.10,3
Domiporta,'525 000',Warszawa,52.20,2
Domiporta,'769 000',Warszawa,55,3
Domiporta,'799 000',Warszawa,34,2
Domiporta,'569 000',Warszawa,57,3
Domiporta,'749 000',Warszawa,84.97,4
Domiporta,'840 000',Warszawa,44,3
Domiporta,'708 000',Warszawa,47,3
Domiporta,'600 000',Warszawa,60.85,3
Domiporta,'850 000',Warszawa,32.50,1
Domiporta,'475 000',Warszawa,61.10,3
Domiporta,'600 000',Otwoc,98,4
Domiporta,'820 000',Warszawa,59,3
Domiporta,'479 000',Warszawa,50,2
Domiporta,'699 000',Warszawa,102.20,3
Domiporta,'1 500 000',Warszawa,87,3
Domiporta,'899 000',Warszawa,27.60,1
Domiporta,'345 000',Warszawa,46.60,2
Domiporta,'549 000',Warszawa,39.12,2
Domiporta,'479 000',Warszawa,42,2
Domiporta,'628 000',Warszawa,74,3
Domiporta,'882 000',Warszawa,46.18,2
Domiporta,'480 000',Warszawa,44.22,2
Domiporta,'660 000',Warszawa,48.51,2
Domiporta,'750 000',Warszawa,133.33,4
Domiporta,'1 550 000',Warszawa,64,3
Domiporta,'1 275 000',Warszawa,47,2
Domiporta,'880 000',Warszawa,54.50,3
Domiporta,'799 000',Warszawa,31.87,3
Domiporta,'560 000',Warszawa,70,3
Domiporta,'769 000',Warszawa,46,3
Domiporta,'655 000',Pruszków,63.72,2
Domiporta,'445 999',Warszawa,38.40,2
Domiporta,'569 000',Warszawa,28,2
Domiporta,'530 000',Warszawa,38.80,2
Domiporta,'475 000',Warszawa,43.22,2
Domiporta,'449 900',Warszawa,46,2
Domiporta,'464 000',Ząbki,60,3
Domiporta,'500 000',Warszawa,37.60,2
Domiporta,'522 000',Warszawa,48,2
